0.0191693 9.56454
0.0383387 9.6423
0.0479233 9.6423
0.0766773 9.72006
0.086262 10.8865
0.0958466 10.9642
0.115016 11.1198
0.134185 11.2753
0.14377 11.353
0.172524 10.3421
0.182109 10.4199
0.191693 10.5754
0.201278 11.7418
0.210863 10.8087
0.220447 10.8865
0.230032 10.9642
0.277955 11.353
0.28754 11.4308
0.297125 11.5086
0.306709 11.5863
0.316294 11.6641
0.325879 11.7418
0.335463 11.8196
0.354633 11.9751
0.364217 12.8305
0.373802 12.2862
0.383387 12.3639
0.392971 12.4417
0.402556 12.5194
0.412141 12.5972
0.421725 13.3748
0.43131 12.7527
0.440895 12.8305
0.450479 12.9082
0.460064 13.8414
0.479233 13.0638
0.517572 14.3857
0.527157 13.5303
0.536741 13.6081
0.546326 14.619
0.555911 14.6967
0.565495 13.9191
0.57508 15.0078
0.584665 14.1524
0.594249 14.3079
0.603834 14.3857
0.613419 14.4635
0.623003 15.6299
0.632588 15.7076
0.642173 15.7854
0.651757 14.8523
0.661342 15.0078
0.670927 16.1742
0.680511 15.3188
0.690096 15.4743
0.699681 15.5521
0.709265 15.6299
0.71885 15.7076
0.728435 15.8631
0.747604 17.2628
0.757188 16.0964
0.766773 16.2519
0.776358 16.4852
0.785942 16.6407
0.795527 18.0404
0.805112 16.874
0.814696 17.0295
0.824281 17.1851
0.833866 17.4184
0.84345 17.5739
0.853035 17.6516
0.86262 17.8072
0.872204 18.0404
0.881789 18.196
0.891374 19.7512
0.900958 18.4292
0.910543 18.5848
0.920128 18.7403
0.929712 20.5288
0.939297 19.1291
0.948882 20.6843
0.958466 19.3624
0.968051 19.5179
0.977636 19.8289
0.98722 20.2177
0.996805 20.3733
1.00639 21.9285
1.01597 20.6065
1.02556 20.8398
1.03514 21.0731
1.04473 21.2286
1.05431 22.2784
1.0639 21.4619
1.07348 21.6174
1.08307 22.0062
1.09265 24.1835
1.10224 24.339
1.11182 22.3173
1.12141 22.4728
1.13099 22.7061
1.14058 23.056
1.15016 23.367
1.15974 23.8336
1.16933 26.283
1.17891 24.1835
1.1885 24.7278
1.19808 24.8834
1.20767 25.972
1.22684 25.6221
1.23642 25.972
1.24601 26.1664
1.25559 26.5163
1.26518 26.6719
1.27476 26.9051
